age,city,job_title,seniority_level,language_at_work,company_size,company_type,salary,year,country,experience,skills,skills_2,employment_status,years_of_experience_in_germany,job_title_2,your_seniority_level,skills_3,company_industry,survey,salary_norm,job_category,z_score,modif_z_score
29.0,berlin,qa engineer,medior,english,51-100,startup,53601.7218267136,2020,de,7,,javascript / typescript,full-time employee,1,,,,,it,1.148944801550031,QA/Test Engineers,-0.8086711258896611,1.2740555555555555
39.0,berlin,software engineer,senior,english,51-100,startup,91236.97332206569,2020,de,8,java,"python, java / scala, sql, aws, google cloud, kubernetes, docker",full-time employee,5,,,,,it,1.955650726042606,Software Engineer,-0.14054625317001604,0.3372499999999997
27.0,berlin,software engineer,medior,english,101-1000,product,71964.30316994585,2020,de,8,javascript,,full-time employee,1,,,,,it,1.5425439558001812,Software Engineer,-0.21112034051629108,0.06737505555555474
33.0,berlin,data scientist,executive,english,1000+,product,262306.29830093886,2020,de,5,python,"python, r, google cloud, docker",full-time employee,4,,,,,it,5.622495837372492,Data Scientist/ ML Engineer,2.6296591120976007,6.070499999999999
28.0,berlin,designer (ui/ux),medior,german,1000+,product,51320.79749366196,2020,de,7,figma,,full-time employee,7,,,,,it,1.1000535333989658,UI/UX Designers,-0.8828964268490263,1.4239444444444445
30.0,berlin,software engineer,senior,english,101-1000,product,91236.97332206569,2020,de,8,javascript,"python, javascript / typescript, java / scala, go, kubernetes, docker",full-time employee,3,,,,,it,1.955650726042606,Software Engineer,-0.14054625317001604,0.3372499999999997
28.0,berlin,backend developer,senior,english,101-1000,startup,85534.6624894366,2020,de,5,kotlin,"python, kotlin, java / scala, sql, aws, kubernetes, docker",full-time employee,1,,,,,it,1.8334225556649433,Back End,-0.3032364424105957,0.0
38.0,berlin,devops,senior,english,51-100,startup,79832.35165680748,2020,de,10,go/python,"aws, kubernetes, docker",full-time employee,5,,,,,it,1.7111943852872802,DevOps Engineer,-0.46592663165117604,0.33725000000000094
29.0,berlin,frontend developer,senior,english,1000+,product,95798.82198816899,2020,de,7,react,javascript / typescript,full-time employee,2,,,,,it,2.053433262344736,Front End,-0.010394101777552046,0.6070499999999999
49.0,berlin,software engineer,senior,german,1000+,product,78121.65840701875,2020,de,15,java,sql,full-time employee,15,,,,,it,1.6745259341739813,Software Engineer,-0.51473368842335,0.43842500000000095
