seniority_level,level_1,age,city,job_title,language_at_work,company_size,company_type,salary,year,country,experience,skills,skills_2,employment_status,years_of_experience_in_germany,job_title_2,your_seniority_level,skills_3,company_industry,survey,city_category,language_category,company_size_category,industry_category,country_code,median_income_2020_usd,mean_income_2020_usd,gdp_ppp_usd,glassdoor_software_engineer_usd,salary_normmed,salary_normmean,salary_normgdp,salary_normse,salary_norm,salary_2024,salary_norm_2024,salary_normmed_2024,salary_normmean_2024,salary_normgdp_2024,salary_normse_2024,job_category,salary_log,salary_2024_log,salary_norm_log,salary_norm_2024_log,salary_normmed_2024_log,salary_normmean_2024_log,salary_normgdp_2024_log,salary_normse_2024_log,z_score,modif_z_score,modif_z_score_signed
executive,8,35.0,berlin,software engineer,english,101-1000,product,108343.905819953,2020,de,15.0,java,,full-time employee,3.0,,,,,it,berlin,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,6.431813940038765,5.491328221994577,1.5625473163337995,1.3001476722021912,2.2239445331188907,128112.47355606107,2.629728299280766,7.605370944260081,6.493282998279832,1.8476516997326295,1.5373742806612234,Software Engineer,11.593065760066139,11.760663856727941,0.7992824359329417,0.9668805325947436,2.0288547008872877,1.8707682577112799,0.6139154812853489,0.4300759486796684,-0.06434081118148698,0.06549817400481167,-0.06549817400481167
executive,10,,berlin,software engineer,english,1000+,,148260.08164835672,2020,de,,php,,full-time employee,,,,,,it,berlin,English-speaking (but not german),l,other,de,16845,19730,69338,83332.0,8.80142960215831,7.514449145887315,2.1382226434041467,1.7791494461714195,3.0432925190047975,175311.8059188204,3.5985755674368374,10.407349713198006,8.885545155540822,2.528365483844651,2.103775331431148,Software Engineer,11.90672331892118,12.074321415582983,1.1129399947879832,1.280538091449785,2.342512259742329,2.1844258165663213,0.9275730401403905,0.7437335075347101,0.4096632781621421,1.1103351467500087,1.1103351467500087
executive,17,34.0,berlin,mobile developer,english,101-1000,product,182473.94664413136,2020,de,11.0,kotlin,"kotlin, javascript / typescript, aws, google cloud, kubernetes, docker",full-time employee,5.0,,,,,it,berlin,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,10.832528741117919,9.248552794938234,2.631658638035873,2.189722395287901,3.7455907926212895,215768.3765154713,4.429016082999185,12.809045800859083,10.936055576050244,3.1118344416549553,2.5892619463767974,Mobile,12.114362683699426,12.281960780361228,1.3205793595662279,1.4881774562280299,2.5501516245205735,2.392065181344566,1.135212404918635,0.9513728723129545,0.7234510547834846,1.8887295355154312,1.8887295355154312
executive,19,34.0,berlin,software architect,english,1000+,product,114046.2166525821,2020,de,15.0,nodejs,"javascript / typescript, sql, go, aws, kubernetes, docker, terraform",full-time employee,9.0,,,,,it,berlin,English-speaking (but not german),l,other,de,16845,19730,69338,83332.0,6.770330463198699,5.780345496836396,1.6447866487724205,1.3685764970549381,2.340994245388306,134855.23532216955,2.7681350518744905,8.005653625536928,6.8350347350314005,1.944896526034347,1.6182887164854984,Architects,11.64435905445369,11.811957151115491,0.8505757303204922,1.0181738269822942,2.0801479952748383,1.9220615520988302,0.6652087756728995,0.481369243067219,0.013174398030614598,0.12678912457753141,0.12678912457753141
executive,22,36.0,berlin,software engineer,english,101-1000,product,79832.35165680747,2020,de,17.0,php,"python, c/c++, javascript / typescript, sql, go, aws, docker",full-time employee,2.0,,,,,it,berlin,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,4.73923132423909,4.046241847785478,1.1513506541406944,0.9580035479384567,1.6386959717718141,94398.66472551868,1.9376945363121434,5.60395753787585,4.784524314521981,1.3614275682240429,1.1328021015398488,Software Engineer,11.287684110514958,11.45528220717676,0.4939007863817598,0.6614988830435619,1.7234730513361058,1.565386608160098,0.3085338317341671,0.12469429912848659,-0.5258382200950762,1.2103069278576106,-1.2103069278576106
executive,23,38.0,berlin,team lead,english,101-1000,product,95798.82198816896,2020,de,18.0,ios,"swift, aws",full-time employee,4.0,,,,,it,berlin,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,5.687077589086908,4.855490217342573,1.3816207849688333,1.1496042575261478,1.966435166126177,113278.39767062242,2.325233443574572,6.724749045451019,5.741429177426377,1.6337130818688514,1.3593625218478185,Team leaders,11.47000566730891,11.637603763970713,0.6762223431757144,0.8438204398375164,1.9057946081300603,1.7477081649540525,0.4908553885281217,0.3070158559224411,-0.25031110124833683,0.5268234423877106,-0.5268234423877106
executive,28,29.0,berlin,software engineer,english,101-1000,product,102641.59498732389,2020,de,6.0,go,"python, go, aws, kubernetes, docker",full-time employee,4.0,,,,,it,berlin,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,6.09329741687883,5.202310947152757,1.4803079838951785,1.2317188473494443,2.106894820849475,121369.71178995259,2.491321546687041,7.205088262983235,6.151531261528262,1.7504068734309122,1.4564598448369486,Software Engineer,11.538998538795862,11.706596635457664,0.7452152146626658,0.9128133113244677,1.974787479617012,1.8167010364410041,0.5598482600150732,0.37600872740939273,-0.14604802102877684,0.2681843154205685,-0.2681843154205685
executive,46,31.0,berlin,software engineer,english,101-1000,startup,98079.7463212206,2020,de,7.0,python,"python, sql, google cloud, kubernetes, docker",full-time employee,3.0,,,,,it,berlin,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,5.822484198350882,4.971097127279301,1.4145165179442818,1.1769757874672468,2.0132550510339433,115975.50237706582,2.380596144612062,6.884862117961758,5.878129872127006,1.6726110123895386,1.3917282961775288,Software Engineer,11.493536164719107,11.661134261380909,0.6997528405859087,0.8673509372477106,1.9293251055402545,1.7712386623642469,0.5143858859383159,0.3305463533326355,-0.21475145448759547,0.4386127740083516,-0.4386127740083516
executive,54,33.0,munich,devops,,101-1000,product,114046.2166525821,2020,de,15.0,kubernetes,"aws, google cloud, azure, docker",full-time employee,4.0,,,,,it,munich,Only other languages,m,other,de,16845,19730,69338,83332.0,6.770330463198699,5.780345496836396,1.6447866487724205,1.3685764970549381,2.340994245388306,134855.23532216955,2.7681350518744905,8.005653625536928,6.8350347350314005,1.944896526034347,1.6182887164854984,DevOps Engineer,11.64435905445369,11.811957151115491,0.8505757303204922,1.0181738269822942,2.0801479952748383,1.9220615520988302,0.6652087756728995,0.481369243067219,0.013174398030614598,0.12678912457753141,0.12678912457753141
executive,56,66.0,munich,software engineer,german,51-100,product,79832.35165680747,2020,de,40.0,ruby on rails,"javascript / typescript, ruby, sql",full-time employee,4.0,,,,,it,munich,German-speaking,m,other,de,16845,19730,69338,83332.0,4.73923132423909,4.046241847785478,1.1513506541406944,0.9580035479384567,1.6386959717718141,94398.66472551868,1.9376945363121434,5.60395753787585,4.784524314521981,1.3614275682240429,1.1328021015398488,Software Engineer,11.287684110514958,11.45528220717676,0.4939007863817598,0.6614988830435619,1.7234730513361058,1.565386608160098,0.3085338317341671,0.12469429912848659,-0.5258382200950762,1.2103069278576106,-1.2103069278576106
