City,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Your main technology,Just a few more general questions,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoff affects you,company layoffs,Work From Home allowance
Berlin,,Full-time employee,,Engineering Manager,,15,6,Lead / Staff,,PHP,"SQL,AWS,Docker,Terraform,Kubernetes",4,"English,German,Russian",,,11-50,85000,100000,90000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,3,0,Middle,,Python,"Java / Scala,SQL,Docker,Terraform",0,English,,,1000+,64000,65000,,24,,,,,,,No,100 - 500
Munich,,Full-time employee,,Software Engineer,,25,2,Middle,,C / C++,,2,English,,,101-1000,70000,72000,68000,29,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,2,1,Junior,,Python,"Python,SQL,Google Cloud,Docker",0,English,,,1000+,65000,65000,,28,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,DevOps,,15,5,Senior,,Other,"AWS,Google Cloud,Kubernetes,Terraform,Azure,Docker",2,"English,German",AWS,,1000+,85000,90000,82500,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,BI Developer / Data Engineer,,15,2,Middle,,SQL,"Python,Other",0,English,,,1000+,67000,79000,65000,24,,,,,,,No,No
Munich,,Full-time employee,,QA Engineer,,8,4,Middle,,Java,,4,"English,Russian",,,1000+,67000,70000,67000,30,,,,,,,No,No
Munich,,Full-time employee,,Backend Developer,,4,4,Middle,,Other,"Java / Scala,Other",4,"German,Russian",Java,,11-50,55,55,45,27,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,8,5,Middle,,Java,Javascript / Typescript,2,English,,,1000+,95000,126000,120000,28,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,Product Manager,,12,0,Lead / Staff,,Other,"Terraform,Other",0,English,Product management toolkit,,1000+,100000,107000,,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Backend Developer,,20,7,Head / Principal,,Ruby,"SQL,Kubernetes,Docker",2,English,,,51-100,88000,0,83000,30,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,15,0,Senior,,JavaScript / Typescript,"NodeJS, React",,"English,Russian",,,1000+,80000,80000,,28,,,,,,No,Yes,No
Berlin,,Full-time employee,,Tech Lead / Team Lead,,8,7,Lead / Staff,,Go,"Javascript / Typescript,NodeJS,AWS,Google Cloud,Kubernetes,Docker",1,English,,,up to 10,70000,75000,85000,28,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,15,6,Senior,,Kotlin,"Java / Scala,Javascript / Typescript,AWS",0,"English,German",,,1000+,135000,150000,90000,28,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,Software Engineer,,10,5,Senior,,JavaScript / Typescript,"Python,Javascript / Typescript,NodeJS, React",2,English,,,11-50,90000,90000,85000,28,,,,,,,No,No
Berlin,,Full-time employee,,Tech Lead / Team Lead,,11,0,Senior,,Java,"Java / Scala,Javascript / Typescript, React,Kubernetes,Docker,Google Cloud",1,"Russian,English",,,1000+,80000,90000,,30,,,,,,,No,500 - 1000
Berlin,,Full-time employee,,QA Engineer,,10,10,Middle,,JavaScript / Typescript,,1,German,,,1000+,61500,10000,9000,30,,,,,,,No,No
Berlin,,Full-time employee,,Mobile Developer,,13,8,Lead / Staff,,Kotlin,"AWS,Kubernetes,Terraform,Docker",7,"English,German",,,101-1000,95000,95000,80000,30,,,,,,No,Yes,100 - 500
Munich,,Full-time employee,,Software / Solutions Architect,,15,2,Senior,,Other,"AWS,Kubernetes,Docker,Python,Javascript / Typescript,SQL",2,"English,Russian",Cloud,,1000+,130000,145000,110000,28,,,,,,No,Yes,up to 100 euro
Munich,,Full-time employee,,Head / Principal / VP,,10,5,Head / Principal,,Other,,5,"English,Russian,German",,,101-1000,92000,100000,,23,,,,,,,No,No
Bonn,,Full-time employee,,Engineering Manager,,11,10,Lead / Staff,,Python,R,0,English,,,1000+,150000,300000,150000,30,,,,,,No,Yes,over 1000 euros
Berlin,,Full-time employee,,Data Scientist,,10,10,Senior,,Python,"SQL,Google Cloud,Azure,Docker",4,"English,German,Russian",,,1000+,95000,125000,110000,30,,,,,,,No,No
Other,Dresden,Full-time employee,,Data Scientist,,2,1,Junior,,Python,"Python,Docker,Other",0,English,,,11-50,51600,51600,,30,,,,,,,No,No
Berlin,,Full-time employee,,Engineering Manager,,11,7,Lead / Staff,,Python,"Google Cloud,Kubernetes,Terraform,Docker,AWS",3,English,,,101-1000,110000,110000,90000,unlimited,,,,,,,No,No
Dusseldorf,,Full-time employee,,ML Engineer,,6,6,Senior,,Python,"Java / Scala,C / C++,C# / .NET core,Javascript / Typescript,SQL,Google Cloud,Kubernetes,Docker,NodeJS",35,"English,German",,,101-1000,95000,95000,,unlimited,,,,,,No,Yes,500 - 1000
Berlin,,Full-time employee,,Backend Developer,,11,5,Senior,,JavaScript / Typescript,"NodeJS,Java / Scala,Terraform,AWS",2,English,,,11-50,104400,104400,87000,28,,,,,,,No,No
Munich,,Full-time employee,,Mobile Developer,,2,2,Junior,,Swift,Python,2,"English,German,Russian",,,101-1000,60000,60000,52000,30,,,,,,,No,No
Munich,,Full-time employee,,Product Manager,,18,4,Senior,,JavaScript / Typescript,,2,"English,Russian",,,101-1000,77800,77800,,30,,,,,,No,Yes,No
Munich,,Part-time employee,,Software Engineer,,3,3,Middle,,Java,AWS,3,German,,,101-1000,51900,51900,45500,30,,,,,35,,No,No
Munich,,Full-time employee,,Software Engineer,,30,5,Senior,,C / C++,,5,English,,,101-1000,80000,82000,0,30,,,,,,No,Yes,No
Munich,,Full-time employee,,ML Engineer,,4,4,Other,,Python,"Python,C / C++",4,English,,,1000+,57000,57000,54000,31,,,,,,,No,No
Berlin,,Full-time employee,,Software / Solutions Architect,,16,6,Lead / Staff,,Go,"Kotlin,Ruby,Docker,Terraform,Kubernetes,AWS",2,English,,,1000+,105000,150000,112000,27,,,,,,No,Yes,over 1000 euros
Berlin,,Full-time employee,,Tech Lead / Team Lead,,18,6,Lead / Staff,,Java,SQL,4,"English,Russian",,,1000+,150000,320000,,30,,,,,,,No,over 1000 euros
Munich,,Full-time employee,,Engineering Manager,,12,6,Head / Principal,,Java,"Ruby,SQL,AWS,Kubernetes,Terraform,Docker",6,English,,,51-100,125000,137000,95000,28,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,17,5,Senior,,Rust,Java / Scala,0,English,,,101-1000,145000,145000,110000,25,,,,,,,No,500 - 1000
Munich,,Full-time employee,,Other,Support Engineer,15,1,Middle,,Other,Other,1,English,,,1000+,77000,102000,85000,30,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Tech Lead / Team Lead,,16,7,Lead / Staff,,JavaScript / Typescript,"Angular,NodeJS",0,English,,,101-1000,102000,102000,86000,unlimited,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,QA Engineer,,4,4,Senior,,Python,"Docker,Kubernetes",4,English,,,101-1000,61000,2500,,30,,,,,,No,Yes,No
Hamburg,,Full-time employee,,BI Developer / Data Engineer,,15,5,Senior,,Python,"Ruby,SQL,Other",0,"English,Russian",,,1000+,115000,150000,115000,unlimited,,,,,,No,Yes,No
Berlin,,Full-time employee,,Software Engineer,,7,7,Senior,,Python,,6,"English,German",,,51-100,75000,0,0,28,,,,,,,No,No
Munich,,Full-time employee,,Frontend Developer,,11,8,Senior,,JavaScript / Typescript,,1,"English,German",,,1000+,89000,101000,65000,32,,,,,,,No,500 - 1000
Karlsruhe,,Full-time employee,,Software Engineer,,8,2,Senior,,C# / .NET,"C# / .NET core,.NET,Ruby, React,AWS,Kubernetes,Docker",2,English,,,101-1000,75000,97500,84000,30,,,,,,,No,No
Munich,,Full-time employee,,Designer (UI/UX),,10,6,Lead / Staff,,Other,Other,2,"English,German",English  German,,51-100,100000,0,0,21,,,,,,No,Yes,No
Other,Bad Mergentheim,Full-time employee,,Other,SAP Berater,9,7,Middle,,SAP / ABAP,Python,7,"English,German",,,101-1000,46500,49500,,30,,,,,,,No,No
Stuttgart,,Full-time employee,,Software Engineer,,12,7,Senior,,C / C++,,0,"English,German",,,1000+,94000,117000,85000,30,,,,,,,No,No
Other,Augsburg,Full-time employee,,Software Engineer,,17,2,Senior,,C# / .NET,C / C++,0,English,,,101-1000,80000,80000,77000,30,,,,,,,No,No
Berlin,,Full-time employee,,QA Engineer,,10,5,Senior,,JavaScript / Typescript,"Java / Scala,SQL,Docker",0,English,,,11-50,60000,60000,55000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Engineering Manager,,8,6,Lead / Staff,,Python,,,"German,English",,,1000+,90000,110000,85000,30,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Software Engineer,,4,0,Middle,,JavaScript / Typescript," React,Javascript / Typescript",0,English,,,1000+,70000,70000,,26,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Engineering Manager,,18,4,Lead / Staff,,Java,"Java / Scala,Python,SQL",4,English,,,1000+,98000,120000,,28,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,5,5,Lead / Staff,,Python,"Python,SQL,AWS,Google Cloud,Docker",1,"English,German",,,1000+,77000,77000,72000,27,,,,,,,No,No
Berlin,,Full-time employee,,Engineering Manager,,10,9,Senior,,C / C++,,1,English,,,101-1000,89000,89000,100000,30,,,,,,No,Yes,No
Other,Heilbronn,Full-time employee,,Network / Security Engineer / System Administrator,,20,5,Senior,,Other,"Azure,Other",2,"English,German",Citrix,,1000+,80000,80000,80000,29,,,,,,No,Yes,No
Berlin,,Full-time employee,,DevOps,,8,2,Senior,,Python,"Kubernetes,Terraform,Docker,Google Cloud",1,English,,,101-1000,110000,110000,85000,28,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Engineering Manager,,12,4,,,Kotlin,"AWS,Kubernetes,Terraform",4,English,,,1000+,105000,130000,,27,,,,,,No,Yes,No
Berlin,,Full-time employee,,Engineering Manager,,15,10,Middle,,Go,,0,English,,,1000+,120000,120000,,30,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Software Engineer,,22,9,Senior,,Java,"AWS,Kubernetes",1,English,,,1000+,100000,109000,92,27,,,,,,,No,500 - 1000
Berlin,,Full-time employee,,DevOps,,10,1,Senior,,Other,"Python,Ruby,Javascript / Typescript,SQL,AWS,Terraform,Docker",1,English,,,101-1000,95000,95000,,32,,,,,,,No,No
Berlin,,Full-time employee,,DevOps,,8,5,Senior,,Go,"Python,Terraform,Docker",1,English,,,1000+,85000,10000,,30,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,20,6,Senior,,Ruby,"Javascript / Typescript,SQL,NodeJS,Other",2,German,,,51-100,75000,0,,30,,,,,,,No,No
Other,Bochum,Full-time employee,,BI Developer / Data Engineer,,3,3,Senior,,SQL,"Python,Azure,Other",3,"German,English",,,51-100,50000,62000,54000,30,,,,,,,No,No
Berlin,,Full-time employee,,QA Engineer,,6,0,Senior,,Java,"Docker,Kubernetes,AWS,Java / Scala",0,"English,Russian",,,101-1000,65000,65000,,30,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,2,2,Middle,,Python,"C# / .NET core,SQL,AWS,Azure,Docker",0,German,,,101-1000,52000,58000,45000,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Other,Director Data,20,14,Head / Principal,,Python,"Python,SQL",2,"English,German,Russian",,,101-1000,132000,0,132000,30,,,,,,"Yes, I am NOT satisfied with a severance package",Yes,No
Munich,,Full-time employee,,QA Engineer,,2,2,Junior,,Java,"SQL,Azure,Docker,Java / Scala",2,"English,German,Russian",,,51-100,45000,45000,43000,30,,,,,,,No,No
Munich,,Full-time employee,,Head / Principal / VP,,15,5,Head / Principal,,C# / .NET,"SQL,AWS,Docker",0,"English,Russian",,,101-1000,98000,98000,72000,30,,,,,,,No,No
Berlin,,Full-time employee,,Other,Marketing Analyst,3,3,Middle,,Python,"SQL,R,Google Cloud,AWS",,English,,,1000+,60000,60000,60000,24,,,,,,,No,100 - 500
Cologne,,Full-time employee,,Data Scientist,,4,4,Middle,,Python,"Python,SQL,Azure,Kubernetes,Docker",4,"German,English",,,101-1000,65000,0,63000,28,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Product Manager,,16,10,Senior,,Other,Other,1,English,,,1000+,96000,98000,90000,27,,,,,,No,Yes,100 - 500
Stuttgart,,Full-time employee,,ML Engineer,,5,4,Junior,,Python,"SQL,Other",4,"English,German",,,1000+,60000,60000,60000,30,,,,,,,No,No
Frankfurt,,Full-time employee,,Data Scientist,,5,1,Middle,,Python,"R,SQL,AWS,Other",1,"English,German,Russian",,,1000+,47900,47900,,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,3,3,Middle,,JavaScript / Typescript,React,3,English,,,1000+,75000,2400,63000,30,,,,,,,No,No
Other,Leipzig,Full-time employee,,ML Engineer,,2,1,Junior,,Python,"Python,Go,AWS,Azure,Kubernetes,Terraform,Docker,SQL,Other",1,English,,,101-1000,60000,60000,45000,28,,,,,,,No,No
Cologne,,Full-time employee,,Software Engineer,,16,8,Senior,,C / C++,"Python,SQL",3,English,,,101-1000,81200,82800,78000,35,,,,,,,No,No
Berlin,,Full-time employee,,DevOps,,6,6,Lead / Staff,,Go,"Kubernetes,Terraform,Docker",0,"English,German",,,1000+,120000,128400,,,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,BI Developer / Data Engineer,,8,1,Senior,,Python,"Kubernetes,Terraform,AWS,SQL,Python,Docker",1,English,,,1000+,82000,90000,,,,,,,,,No,500 - 1000
Berlin,,Full-time employee,,BI Developer / Data Engineer,,8,8,Senior,,SQL,"Python,Google Cloud,AWS,Terraform,SQL",0,English,,,1000+,90000,102500,77000,27,,,,,,No,Yes,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,4,4,Middle,,Python,"SQL,Go,Kubernetes",0,English,,,101-1000,70000,0,68000,30,,,,,,,No,500 - 1000
Berlin,,Full-time employee,,BI Developer / Data Engineer,,3,3,Senior,,Python,"SQL,AWS,Docker",2,English,,,101-1000,75000,75000,,,,,,,,No,Yes,over 1000 euros
Berlin,,Full-time employee,,Software Engineer,,10,1,Senior,,JavaScript / Typescript,,1,"English,Russian",,,1000+,71000,71000,,32,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,5,0,Head / Principal,,Python,Python,2,"English,Russian",,,51-100,120000,140000,,,,,,,,,No,No
Berlin,,Full-time employee,,Engineering Manager,,9,7,Lead / Staff,,Kotlin,"Python,Java / Scala,Kotlin",3,English,,,1000+,100000,140000,100000,27,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Software Engineer,,10,2,Lead / Staff,,JavaScript / Typescript," React,NodeJS",0,"English,Russian",,,1000+,120000,35000,75000,Unlimited,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,BI Developer / Data Engineer,,3,3,Middle,,SQL,"SQL,R,Azure,SAP / ABAP",1,English,,,1000+,60000,66000,48000,30,,,,,,"Yes, I am NOT satisfied with a severance package",Yes,No
Frankfurt,,Full-time employee,,Tech Lead / Team Lead,,8,7,Lead / Staff,,JavaScript / Typescript,"Angular,NodeJS,Azure",2,"English,Russian",,,51-100,105000,115000,85000,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,10,10,Lead / Staff,,C# / .NET,"Python,Javascript / Typescript,SQL,AWS,Terraform,Docker,Angular, React,NodeJS,Kubernetes",1,"English,German",,,1000+,125000,50000,150000,30,,,,,,,No,100 - 500
Stuttgart,,Full-time employee,,Software / Solutions Architect,,8,8,Senior,,C / C++,C / C++,1,"English,German",,,1000+,84000,90000,,30,,,,,,,No,No
Hamburg,,Full-time employee,,Network / Security Engineer / System Administrator,,20,1,Middle,,Other,,1,"English,German,Russian",,,11-50,55000,55000,55000,27,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Engineering Manager,,15,8,Lead / Staff,,Kotlin,"Java / Scala,Javascript / Typescript,SQL,Kubernetes",8,English,,,1000+,100000,120000,92000,30,,,,,,,No,500 - 1000
Berlin,,Full-time employee,,Backend Developer,,4,0,Middle,,Kotlin,"Python,Go",0,"English,Russian",,,101-1000,78000,78000,,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,5,5,Middle,,Python,"Python,SQL,Azure",1,German,,,1000+,73000,80000,65000,28,,,,,,,No,No
Berlin,,Full-time employee,,Tech Lead / Team Lead,,15,5,Lead / Staff,,JavaScript / Typescript," React,NodeJS,SQL,AWS,Kubernetes,Docker",5,"English,Russian",,,101-1000,89000,0,,28,,,,,,No,Yes,No
Berlin,,Full-time employee,,ML Engineer,,6,1,Senior,,Python,"Python,AWS,Kubernetes,Docker,Terraform,SQL,Other",1,English,,,1000+,84000,90000,,27,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Backend Developer,,3,3,Middle,,Java,"Javascript / Typescript,Docker",2,German,,,101-1000,48000,50000,45000,30,,,,,,,No,No
Hamburg,,Full-time employee,,Head / Principal / VP,,18,7,Head / Principal,,Java,"Java / Scala,Kotlin,NodeJS,Javascript / Typescript, React,Kubernetes,AWS",5,English,,,101-1000,85000,105000,100000,30,,,,,,,No,100 - 500
Other,,Full-time employee,,BI Developer / Data Engineer,,4,4,Senior,,Python,SQL,0,"English,German",,,1000+,95000,95000,90000,30,,,,,,,No,No
Hamburg,,Full-time employee,,Data Scientist,,6,6,Middle,,Python,"SQL,Docker,AWS,Terraform",1,"English,German",,,up to 10,75000,75000,60000,30,,,,,,,No,100 - 500
Mannheim,,Full-time employee,,BI Developer / Data Engineer,,7,5,Middle,,SQL,"Python,SQL,AWS,Terraform",1,"English,German",,,up to 10,68000,68000,60000,30,,,,,,,No,100 - 500
Munich,,Full-time employee,,Other,Business Analyst,12,6,Senior,,JavaScript / Typescript,Java / Scala,1,English,,,1000+,80000,83000,72000,36,,,,,,,No,No
Karlsruhe,,Full-time employee,,Software Engineer,,10,6,Senior,,Java,"Kubernetes,Docker",0,English,,,101-1000,90000,91000,75000,30,,,,,,,No,No
Munich,,Full-time employee,,Tech Lead / Team Lead,,10,1,Lead / Staff,,C / C++,,3,"English,Russian",,,1000+,80000,80000,,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Software Engineer,,5,3,Senior,,Scala,"Azure,Kubernetes,Terraform,Docker",2,English,,,101-1000,89000,0,76000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Data Scientist,,5,1,Senior,,Python,"Java / Scala,Google Cloud,Kubernetes,Docker",1,"English,Russian",,,1000+,95000,107500,60000,28,,,,,,No,Yes,500 - 1000
Berlin,,Full-time employee,,ML Engineer,,10,7,Senior,,Python,,3,English,,,1000+,85000,110000,120000,25,,,,,,No,Yes,100 - 500
Augsburg,,Full-time employee,,Backend Developer,,3,3,Middle,,C# / .NET,"SQL,.NET,C# / .NET core,Javascript / Typescript",1,German,,,51-100,50000,50000,36000,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,3,1,Middle,,Python,Python,0,English,,,1000+,58000,9000,,,,,,,,,No,500 - 1000
Berlin,,Full-time employee,,Tech Lead / Team Lead,,12,4,Head / Principal,,Scala,"Python,Java / Scala,AWS,Kubernetes,Docker",0,English,,,101-1000,135000,185,150,27,,,,,,No,Yes,No
Cologne,,Full-time employee,,Data Scientist,,1,1,Middle,,Python,"SQL,Google Cloud,Java / Scala,Python",,"English,German",,,1000+,67000,73000,,,,,,,,,No,No
Berlin,,Full-time employee,,Tech Lead / Team Lead,,20,6,Lead / Staff,,Swift,"Java / Scala,Javascript / Typescript,Other",5,"English,Russian,German",,,101-1000,85000,86500,85000,28,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,Tech Lead / Team Lead,,11,0,Lead / Staff,,JavaScript / Typescript,"Other,AWS,NodeJS, React,Angular,Swift,Kotlin,Python",0,"English,Russian",,,101-1000,96000,96000,,unlimited,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,9,1,Senior,,JavaScript / Typescript,"Javascript / Typescript,NodeJS,Java / Scala",8,"English,Russian",,,101-1000,80000,86000,,28,,,,,,,No,No
Dusseldorf,,Full-time employee,,QA Engineer,,3,2,Middle,,Other,Javascript / Typescript,2,English,,,101-1000,50000,50000,36000,Unlimited,,,,,,No,Yes,500 - 1000
Berlin,,Full-time employee,,Head / Principal / VP,,12,12,Head / Principal,,Other,,1,"English,German",,,101-1000,80000,7000,68000,25,,,,,,,No,up to 100 euro
Hamburg,,Full-time employee,,Software Engineer,,13,9,Senior,,Kotlin,"Java / Scala,SQL",4,"English,German",,,101-1000,76000,77000,71000,28,,,,,,,No,No
Karlsruhe,,Full-time employee,,ML Engineer,,4,4,Middle,,Java,"Python,Kubernetes,AWS,Docker",0,"English,German",,,1000+,77000,77000,63000,30,,,,,,,No,100 - 500
Munich,,Full-time employee,,Software Engineer,,7,1,Senior,,Kotlin,,1,English,,,101-1000,90000,90000,,30,,,,,,,No,100 - 500
Berlin,,Working student,,Data Scientist,,1,1,Other,Working student,Python,SQL,0,English,,,1000+,16200,16200,,,,,,,,,No,No
Berlin,,Full-time employee,,QA Engineer,,4,4,Middle,,JavaScript / Typescript,,0,English,,,11-50,62000,65000,50000,30,,,,,,,No,No
Hamburg,,Full-time employee,,Frontend Developer,,8,4,Middle,,JavaScript / Typescript," React,NodeJS,Other",2,"German,English",,,101-1000,63200,63200,63000,30,,,,,,,No,No
Darmstadt,,Full-time employee,,Software Engineer,,13,12,Senior,,Java,,0,English,,,1000+,75000,95000,75000,30,,,,,,,No,up to 100 euro
Berlin,,Part-time employee,,Data Scientist,,6,2,Middle,,Python,"Python,SQL",2,English,,,51-100,42000,42000,36000,25,,,,,20,No,Yes,100 - 500
Other,Amberg,Full-time employee,,Data Scientist,,2,2,Middle,,Python,"Python,SQL,Google Cloud,Kubernetes,Docker",2,English,,,1000+,51000,52500,48000,30,,,,,,,No,over 1000 euros
Other,Moscow,Full-time employee,,Software Engineer,,3,0,Middle,,Python,,0,"Russian,English",,,1000+,48000,52000,37000,30,,,,,,,No,No
Berlin,,Full-time employee,,Product Manager,,10,0,Senior,,Other,"Python,SQL",0,"English,Russian",Product manager :),,101-1000,72000,80000,,30,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,15,1,Senior,,C / C++,C# / .NET core,0,English,,,51-100,95000,95000,,30,,,,,,,No,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,15,5,Lead / Staff,,Python,"Python,SQL,AWS,Terraform",0,English,,,101-1000,140000,140000,100000,27,,,,,,,No,No
Munich,,Full-time employee,,Frontend Developer,,15,1,Senior,,JavaScript / Typescript,"PHP, React,Docker",1,"English,Russian",,,1000+,102000,40000,92000,28,,,,,,No,Yes,No
Berlin,,Full-time employee,,Software Engineer,,3,3,Junior,,Scala,,0,"English,Russian",,,1000+,55000,55000,,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Frontend Developer,,10,0,Senior,,JavaScript / Typescript,"Javascript / Typescript, React,NodeJS",0,"English,Russian",,,101-1000,85000,0,,,,,,,,No,Yes,No
Berlin,,Full-time employee,,Tech Lead / Team Lead,,5,3,Lead / Staff,,Ruby,"Python,Javascript / Typescript,SQL,AWS",2,English,,,51-100,90000,91000,77000,28,,,,,,No,Yes,up to 100 euro
Berlin,,Full-time employee,,Data Scientist,,4,4,Middle,,Python,AWS,0,English,,,1000+,125000,165000,50000,24,,,,,,No,Yes,No
Karlsruhe,,Full-time employee,,Software / Solutions Architect,,15,8,Head / Principal,,C# / .NET,"Javascript / Typescript,Angular,.NET,SQL,Azure,Kubernetes,Docker",1,English,,,51-100,79000,79000,79000,30,,,,,,,No,No
Aachen,,Full-time employee,,Software Engineer,,3,3,Middle,,Java,Python,3,"English,German",,,1000+,45000,45000,42000,30,,,,,,,No,No
Munich,,Self-employed (freelancer),,Software / Solutions Architect,,20,20,Senior,,Java,"Java / Scala,Javascript / Typescript,NodeJS",1,"English,German,Russian",,,1000+,,,,,102,1760,25,0,,,No,No
Munich,,Full-time employee,,Scrum Master / Agile Coach,,25,4,Lead / Staff,,Other,Other,1,English,,,101-1000,100000,115000,87000,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Software Engineer,,22,4,Senior,,JavaScript / Typescript,"Java / Scala,Javascript / Typescript,PHP,Docker,Kubernetes,Azure,AWS,Go",0,"German,English",,,101-1000,78000,78000,72000,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,2,1,Middle,,Python,"Python,Java / Scala,PHP,AWS",1,English,,,up to 10,45000,45000,,,,,,,,,No,100 - 500
Munich,,Full-time employee,,Software Engineer,,14,8,Senior,,Python,"C / C++,Rust",2,English,,,51-100,110000,0,95,30,,,,,,,No,No
Berlin,,Full-time employee,,Product Manager,,6,3,Lead / Staff,,Other,Other,1,"English,Russian",,,up to 10,75000,75000,85000,24,,,,,,,No,No
Berlin,,Full-time employee,,QA Engineer,,3,0,Middle,,C# / .NET,Other,0,"English,Russian",,,1000+,65000,65000,10500,31,,,,,,,No,No
Munich,,Full-time employee,,Product Manager,,15,7,Middle,,Other,,0,English,,,101-1000,90000,90000,67000,30,,,,,,,No,No
Stuttgart,,Full-time employee,,BI Developer / Data Engineer,,1,1,Junior,,Python,"Python,SQL",0,"English,German",,,1000+,47500,47500,0,28,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Engineering Manager,,20,8,Middle,,Python,"SQL,Google Cloud,Kubernetes,Docker,Terraform",2,English,,,101-1000,86000,110000,83000,24,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Engineering Manager,,8,8,Head / Principal,,SQL,"Python,Terraform",3,English,,,101-1000,130000,175000,150000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Backend Developer,,5,3,Senior,,Kotlin,"Kubernetes,Terraform,Docker,Other",1,English,,,101-1000,105000,120000,82000,28,,,,,,No,Yes,No
Munich,,Full-time employee,,Tech Lead / Team Lead,,15,10,Lead / Staff,,JavaScript / Typescript,Other,8,"German,English",,,1000+,90000,0,0,30,,,,,,,No,No
Munich,,Full-time employee,,Tech Lead / Team Lead,,10,6,Lead / Staff,,C# / .NET,"Javascript / Typescript,AWS,Docker",4,English,,,1000+,72000,77000,68000,30,,,,,,,No,No
Other,Freiburg,Full-time employee,,Backend Developer,,5,4,Middle,,Java,"Docker,Kubernetes,AWS,SQL",4,English,,,101-1000,44000,44000,42000,28,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,BI Developer / Data Engineer,,2,2,Middle,,Python,"SQL,AWS,Google Cloud,Other",2,"German,English",,,101-1000,45000,45000,39000,27,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,3,3,Middle,,JavaScript / Typescript," React,Ruby",2,English,,,1000+,56000,56000,50000,28,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Tech Lead / Team Lead,,8,8,Lead / Staff,,SQL,Python,1,English,,,101-1000,55000,66000,66000,28,,,,,,"Yes, I am NOT satisfied with a severance package",Yes,No
Munich,,Full-time employee,,Backend Developer,,14,4,Senior,,Java,,8,"Russian,English",,,101-1000,89,89,72,28,,,,,,"Yes, I am NOT satisfied with a severance package",Yes,No
Berlin,,Full-time employee,,Network / Security Engineer / System Administrator,,10,4,Senior,,Other,"AWS,Kubernetes,Terraform,Docker,Python,Javascript / Typescript",0,English,,,1000+,110000,140000,80000,28,,,,,,No,Yes,100 - 500
