City,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Your main technology,Just a few more general questions,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoff affects you,company layoffs,Work From Home allowance
Berlin,,Full-time employee,,QA Engineer,,6,1,Middle,,Other,"SQL,SAP / ABAP",1,"English,German",,,1000+,48000,52000,,30,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,16,3,Lead / Staff,,C / C++,"Python,Docker",0,English,,,101-1000,150000,150000,130000,30,,,,,,,No,500 - 1000
Other,,Full-time employee,,Software Engineer,,8,3,Senior,,Java,"Kotlin,AWS",0,English,,,1000+,100000,130000,75000,28,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,DevOps,,17,8,Senior,,Other,"Go,Google Cloud,Kubernetes,Terraform,Docker",4,English,kubernetes,,101-1000,87000,100000,96000,28,,,,,,,No,No
Stuttgart,,Full-time employee,,Software Engineer,,3,3,Junior,,C / C++,"Java / Scala,C / C++",3,English,,,11-50,57000,57000,51000,30,,,,,,,No,No
Munich,,Full-time employee,,Frontend Developer,,7,5,,,JavaScript / Typescript," React,Javascript / Typescript",2,English,,,1000+,76800,83000,77000,30,,,,,,,No,No
Frankfurt,,Full-time employee,,QA Engineer,,8,2,Senior,,Java,Other,2,German,,,11-50,72000,74000,,30,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Backend Developer,,10,1,Senior,,Scala,"Java / Scala,Javascript / Typescript,Docker,Terraform,Kubernetes,AWS",2,English,,,101-1000,95000,95000,87000,25,,,,,,,No,500 - 1000
Dusseldorf,,Full-time employee,,DevOps,,20,6,Senior,,Other,"SQL,AWS,Google Cloud,Azure,Kubernetes,Docker,Terraform,Other",3,"English,German",Linux,,1000+,100000,110000,95000,30,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Data Scientist,,6,3,Senior,,Python,"Docker,SQL",0,English,,,1000+,116000,150000,110000,28,,,,,,No,Yes,No
Berlin,,Full-time employee,,Tech Lead / Team Lead,,15,8,Lead / Staff,,Java,"C / C++,AWS,Docker,Go,SQL,NodeJS,Javascript / Typescript,Kotlin,Java / Scala",0,English,,,1000+,140000,299500,184000,28,,,,,,No,Yes,500 - 1000
Berlin,,Full-time employee,,Mobile Developer,,8,6,Senior,,Swift,Other,4,English,,,101-1000,75000,80000,65300,28,,,,,,,No,No
Berlin,,Full-time employee,,Backend Developer,,5,4,Middle,,Java,"NodeJS,Angular,Javascript / Typescript,SQL,AWS,Terraform,Docker",2,"English,Russian",,,101-1000,82000,82000,78000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Software Engineer,,10,2,Senior,,Go,"AWS,Terraform,Docker,SQL",1,"English,Russian",,,101-1000,85000,95000,72000,unlimited,,,,,,,No,100 - 500
Munich,,Full-time employee,,Software / Solutions Architect,,15,5,Senior,,Python,"AWS,Terraform,Docker",1,English,,,1000+,90000,112000,118000,28,,,,,,No,Yes,500 - 1000
Berlin,,Full-time employee,,Tech Lead / Team Lead,,12,5,Senior,,Java,"Javascript / Typescript,Angular,NodeJS,SQL,AWS,Terraform,Docker",5,English,,,101-1000,89000,89000,83000,30,,,,,,,No,No
